label,nodeType,order,path,price,description,link,imageLink,Zomato,,,,,,,,
Cheese Dabeli,ProductType,6,"Inventory,Food,Restaurant,Dabeli,Vegeterian,",30,,https://drive.google.com/file/d/1Wn-356mX-znrAIJ4gT8EqP1sjlVk5ewO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseDabeli.jpg,30,,,,,,,,
Butter Cheese Dabeli,ProductType,7,"Inventory,Food,Restaurant,Dabeli,Vegeterian,",35,,https://drive.google.com/file/d/1kUlxhxIxLaD0l-l3qeo0jmFpt1IK3rIX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/ButterCheeseDabeli.jpg,35,,,,,,,,
Pizza,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food1/pizza.jpg,,,,,,,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Pizza,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,,,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Pizza,",,,,,,,,,,,,,
Cheese Pizza 7 inches,ProductType,4,"Inventory,Food,Restaurant,Pizza,Vegeterian,",150,,https://drive.google.com/file/d/1THi3ua2xqFfby0XRBjGGxgXoxoIXY9JV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/CheesePizza7inches.jpg,150,,,,,,,,
Veg Paneer Pizza 7 inches,ProductType,5,"Inventory,Food,Restaurant,Pizza,Vegeterian,",180,,https://drive.google.com/file/d/1rih1twMJZsBTXAJerEf2awUY2WgYSL02/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/VegPaneerPizza7inches.jpg,180,,,,,,,,
Plain Cheese Pizza 8 inches,ProductType,6,"Inventory,Food,Restaurant,Pizza,Vegeterian,",160,,https://drive.google.com/file/d/10TQ6vJeB3PNCKUaQiOcVv7oHrYCpuIUw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/PlainCheesePizza8inches.jpg,160,,,,,,,,
Chocolate Pizza 7 inches,ProductType,7,"Inventory,Food,Restaurant,Pizza,Vegeterian,",170,,,,170,,,,,,,,
Veg Pasta Pizza 8 inches,ProductType,8,"Inventory,Food,Restaurant,Pizza,Vegeterian,",175,,https://drive.google.com/file/d/1FRE2HzJindXj3LdhmcSkBRhvu1S7h43j/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/VegPastaPizza8inches.jpeg,175,,,,,,,,
Capsicum Pizza 7 inches,ProductType,9,"Inventory,Food,Restaurant,Pizza,Vegeterian,",135,,https://drive.google.com/file/d/1tllwMmF4qwxbk9MD8cJzW8WoGdgkAyHW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/CapsicumPizza7inches.jpg,135,,,,,,,,
Tomato Pizza 7 inches,ProductType,10,"Inventory,Food,Restaurant,Pizza,Vegeterian,",140,,https://drive.google.com/file/d/1mlseVm7KLjv0ULFI88vNxT6s3FO7sWQ4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/TomatoPizza7inches.jpg,140,,,,,,,,
Cheese paneer pasta Pizza7 inch,ProductType,11,"Inventory,Food,Restaurant,Pizza,Vegeterian,",230,,https://drive.google.com/file/d/1dd1FRMDwKMiU5tyJnimgp1CW1SeMtS_b/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/CheesepaneerpastaPizza7inch.jpg,230,,,,,,,,
Sweet Corn Pasta Paneer Pizza 7 inches,ProductType,12,"Inventory,Food,Restaurant,Pizza,Vegeterian,",230,,,,230,,,,,,,,
Schezwan pasta Pizza 7 inch,ProductType,13,"Inventory,Food,Restaurant,Pizza,Vegeterian,",170,,https://drive.google.com/file/d/1N2SXCLb8KLTgc8zSiaSmo0Chhudwu-c_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/SchezwanpastaPizza7inch.jpeg,170,,,,,,,,
veg pasta Pizza,ProductType,14,"Inventory,Food,Restaurant,Pizza,Vegeterian,",160,,https://drive.google.com/file/d/1cTbBesd1y8bIe6uYT8NiujPgiilCmXy3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/vegpastaPizza.jpg,160,,,,,,,,
"Veg pizza, 8 inch",ProductType,15,"Inventory,Food,Restaurant,Pizza,Vegeterian,",140,,https://drive.google.com/file/d/1vMVzCeqx5IIhs-Us8a-EGvXtE13kquUO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/Vegpizza8inch.jpg,140,,,,,,,,
Onion Pizza 8 inches,ProductType,16,"Inventory,Food,Restaurant,Pizza,Vegeterian,",140,,,,140,,,,,,,,
Sweet Corn Pasta Pizza 8 inches,ProductType,17,"Inventory,Food,Restaurant,Pizza,Vegeterian,",190,,https://drive.google.com/file/d/19rVem7-CJR30f9kD3JAbweyc5OKXDOx_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/SweetCornPastaPizza8inches.jpg,190,,,,,,,,
Veg Chocolate Cheese Pizza 8 inches,ProductType,18,"Inventory,Food,Restaurant,Pizza,Vegeterian,",180,,https://drive.google.com/file/d/1AxxlbciJkfKSTOvD9nRlBioLy77eLia1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/VegChocolateCheesePizza8inches.jpg,180,,,,,,,,
Cheese Pizza 8 inches,ProductType,19,"Inventory,Food,Restaurant,Pizza,Vegeterian,",165,,https://drive.google.com/file/d/1XmruzlscrAN4OatQsMdF-TAprVfxFup8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/CheesePizza8inches.jpg,165,,,,,,,,
Peri Peri Pizza 8 inches,ProductType,20,"Inventory,Food,Restaurant,Pizza,Vegeterian,",180,,https://drive.google.com/file/d/1-jLxu5DEA_eABC2BQbGDCLhsWGIJZcSm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/PeriPeriPizza8inches.jpg,180,,,,,,,,
Schezwan Pizza 8 inches,ProductType,21,"Inventory,Food,Restaurant,Pizza,Vegeterian,",155,,https://drive.google.com/file/d/12tT2jhYrfxlR-5VTtlmUALQEB9xlArgJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/SchezwanPizza8inches.jpg,155,,,,,,,,
Veg Paneer Pizza 8 inches,ProductType,22,"Inventory,Food,Restaurant,Pizza,Vegeterian,",200,,https://drive.google.com/file/d/1STGoYst1uwyw8ML4RyHZ4OwWCN3GJIHK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/VegPaneerPizza8inches.jpg,200,,,,,,,,
Cheese Paneer Pizza 8 inches,ProductType,23,"Inventory,Food,Restaurant,Pizza,Vegeterian,",190,,https://drive.google.com/file/d/1t44Qq_bt6yfa2ngBBn1eFyg_IfBlfTe9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/CheesePaneerPizza8inches.jpg,190,,,,,,,,
Margherita Pizza 8 inches,ProductType,24,"Inventory,Food,Restaurant,Pizza,Vegeterian,",140,,https://drive.google.com/file/d/1o5PflteEzBTFc1v4iBaXUBzkLsTFic9j/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/MargheritaPizza8inches.jpg,140,,,,,,,,
Vag cheese pizza 8inch,ProductType,25,"Inventory,Food,Restaurant,Pizza,Vegeterian,",160,,https://drive.google.com/file/d/1zSZBaNwl1zaZphFY0CgISvwZKqFlI4Ze/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/Vagcheesepizza8inch.jpg,160,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,c v
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,- ,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,
